epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.8110766045548654,0.8102378490175801,0.8119170984455959,0.7036144578313253,0.6790697674418604,0.73,incel-bert_uncased_L-12_H-768_A-12_italian_alb3rt0-627k_italian,10384,"df_evalita20_train(4785)
df_ami20_train(3500)
df_evalita18facebook_train(2099)","df_evalita20_dev(2052)
df_ami20_dev(1500)
df_evalita18facebook_dev(900)",test_fdb_500(500),33
2.0,0.8189526184538654,0.7894230769230769,0.8507772020725388,0.6845965770171148,0.6698564593301436,0.7,incel-bert_uncased_L-12_H-768_A-12_italian_alb3rt0-627k_italian,10384,"df_evalita20_train(4785)
df_ami20_train(3500)
df_evalita18facebook_train(2099)","df_evalita20_dev(2052)
df_ami20_dev(1500)
df_evalita18facebook_dev(900)",test_fdb_500(500),33
3.0,0.8079369117272959,0.7936031984007996,0.8227979274611399,0.6989247311827957,0.7558139534883721,0.65,incel-bert_uncased_L-12_H-768_A-12_italian_alb3rt0-627k_italian,10384,"df_evalita20_train(4785)
df_ami20_train(3500)
df_evalita18facebook_train(2099)","df_evalita20_dev(2052)
df_ami20_dev(1500)
df_evalita18facebook_dev(900)",test_fdb_500(500),33
4.0,0.8105444690810544,0.7726632221700329,0.8523316062176166,0.699530516431925,0.6592920353982301,0.745,incel-bert_uncased_L-12_H-768_A-12_italian_alb3rt0-627k_italian,10384,"df_evalita20_train(4785)
df_ami20_train(3500)
df_evalita18facebook_train(2099)","df_evalita20_dev(2052)
df_ami20_dev(1500)
df_evalita18facebook_dev(900)",test_fdb_500(500),33
5.0,0.8078192434628078,0.7919362867098059,0.8243523316062176,0.675392670157068,0.7087912087912088,0.645,incel-bert_uncased_L-12_H-768_A-12_italian_alb3rt0-627k_italian,10384,"df_evalita20_train(4785)
df_ami20_train(3500)
df_evalita18facebook_train(2099)","df_evalita20_dev(2052)
df_ami20_dev(1500)
df_evalita18facebook_dev(900)",test_fdb_500(500),33
