epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.8100470957613815,0.8037383177570093,0.8164556962025317,0.8308702791461412,0.7981072555205048,0.8664383561643836,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
2.0,0.8505392912172572,0.8288288288288288,0.8734177215189873,0.8258706467661692,0.8006430868167203,0.8527397260273972,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.8593508500772797,0.8398791540785498,0.879746835443038,0.8394648829431437,0.8202614379084967,0.8595890410958904,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
4.0,0.856687898089172,0.8621794871794872,0.8512658227848101,0.8370497427101201,0.8384879725085911,0.8356164383561644,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
