epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.37681159420289856,0.7959183673469388,0.2468354430379747,0.46973365617433405,0.8016528925619835,0.3321917808219178,bert-base-uncased,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
2.0,0.5221052631578946,0.779874213836478,0.3924050632911392,0.6016260162601627,0.74,0.5068493150684932,bert-base-uncased,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
3.0,0.6258741258741259,0.69921875,0.5664556962025317,0.6496350364963503,0.6953125,0.6095890410958904,bert-base-uncased,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
4.0,0.594392523364486,0.726027397260274,0.5031645569620253,0.6238185255198487,0.6962025316455697,0.565068493150685,bert-base-uncased,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
