epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.8509316770186336,0.8353658536585366,0.8670886075949367,0.8435374149659863,0.8378378378378378,0.8493150684931506,bert-base-uncased,11134,"df_stormfront_train(7492)
train_incelsis(3642)",dev_incelsis(780),test_incelsis(781),15
2.0,0.8532526475037823,0.8173913043478261,0.8924050632911392,0.8398692810457515,0.803125,0.8801369863013698,bert-base-uncased,11134,"df_stormfront_train(7492)
train_incelsis(3642)",dev_incelsis(780),test_incelsis(781),15
3.0,0.8400000000000001,0.8173652694610778,0.8639240506329114,0.8552412645590681,0.8317152103559871,0.8801369863013698,bert-base-uncased,11134,"df_stormfront_train(7492)
train_incelsis(3642)",dev_incelsis(780),test_incelsis(781),15
4.0,0.8424336973478939,0.8307692307692308,0.8544303797468354,0.8600337268128162,0.8471760797342193,0.8732876712328768,bert-base-uncased,11134,"df_stormfront_train(7492)
train_incelsis(3642)",dev_incelsis(780),test_incelsis(781),15
