epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
0,0.495906432748538,0.39332096474953615,0.6708860759493671,0.45410628019323673,0.35074626865671643,0.6438356164383562,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.5791940018744143,0.41145139813581894,0.9778481012658228,0.5506692160611855,0.3819628647214854,0.9863013698630136,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.5766423357664234,0.40512820512820513,1.0,0.544268406337372,0.3738796414852753,1.0,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.564824120603015,0.41384388807069217,0.8892405063291139,0.5484199796126401,0.3904208998548621,0.9212328767123288,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.030395136778115502,0.38461538461538464,0.015822784810126583,0.01993355481727575,0.3333333333333333,0.010273972602739725,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.19184652278177458,0.39603960396039606,0.12658227848101267,0.20671834625322996,0.42105263157894735,0.136986301369863,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.5687732342007434,0.4026315789473684,0.9683544303797469,0.5416267942583732,0.3758300132802125,0.9691780821917808,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.09326424870466321,0.2571428571428571,0.056962025316455694,0.10285714285714287,0.3103448275862069,0.06164383561643835,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.507537688442211,0.42083333333333334,0.6392405063291139,0.461139896373057,0.37083333333333335,0.6095890410958904,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.576923076923077,0.4059278350515464,0.9968354430379747,0.5444340505144996,0.3745173745173745,0.9965753424657534,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
