epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.8858625162127106,0.835985312117503,0.9420689655172414,0.5963488843813388,0.5017064846416383,0.735,bert_uncased_L-12_H-768_A-12_italian_alb3rt0,3500,df_ami20_train(3500),df_ami20_dev(1500),test_fdb_500(500),29
2.0,0.897018970189702,0.881491344873502,0.9131034482758621,0.546916890080429,0.5895953757225434,0.51,bert_uncased_L-12_H-768_A-12_italian_alb3rt0,3500,df_ami20_train(3500),df_ami20_dev(1500),test_fdb_500(500),29
3.0,0.8920962199312714,0.8890410958904109,0.8951724137931034,0.5299145299145299,0.6158940397350994,0.465,bert_uncased_L-12_H-768_A-12_italian_alb3rt0,3500,df_ami20_train(3500),df_ami20_dev(1500),test_fdb_500(500),29
4.0,0.9062087186261559,0.8694550063371356,0.9462068965517242,0.6267942583732058,0.6009174311926605,0.655,bert_uncased_L-12_H-768_A-12_italian_alb3rt0,3500,df_ami20_train(3500),df_ami20_dev(1500),test_fdb_500(500),29
5.0,0.9011588275391957,0.8908355795148248,0.9117241379310345,0.599483204134367,0.6203208556149733,0.58,bert_uncased_L-12_H-768_A-12_italian_alb3rt0,3500,df_ami20_train(3500),df_ami20_dev(1500),test_fdb_500(500),29
