epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.5522682445759368,0.7329842931937173,0.4430379746835443,0.5363825363825363,0.6825396825396826,0.4417808219178082,incel-bert-base-uncased-1000k_english,4500,train_hateval_2019_english(4500),dev_incelsis(780),test_incelsis(781),4
2.0,0.5228215767634855,0.7590361445783133,0.3987341772151899,0.4933920704845815,0.691358024691358,0.3835616438356164,incel-bert-base-uncased-1000k_english,4500,train_hateval_2019_english(4500),dev_incelsis(780),test_incelsis(781),4
3.0,0.5392354124748491,0.7403314917127072,0.4240506329113924,0.5234042553191489,0.6910112359550562,0.4212328767123288,incel-bert-base-uncased-1000k_english,4500,train_hateval_2019_english(4500),dev_incelsis(780),test_incelsis(781),4
4.0,0.5618860510805501,0.7409326424870466,0.4525316455696203,0.5446985446985447,0.6931216931216931,0.4486301369863014,incel-bert-base-uncased-1000k_english,4500,train_hateval_2019_english(4500),dev_incelsis(780),test_incelsis(781),4
