epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.6315789473684209,0.7777777777777778,0.5316455696202531,0.6756756756756755,0.7743362831858407,0.5993150684931506,incel-bert-base-uncased-1000k_english,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
2.0,0.6690909090909092,0.7863247863247863,0.5822784810126582,0.7375886524822695,0.7647058823529411,0.7123287671232876,incel-bert-base-uncased-1000k_english,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
3.0,0.6845878136200717,0.7892561983471075,0.6044303797468354,0.7491289198606271,0.7624113475177305,0.7363013698630136,incel-bert-base-uncased-1000k_english,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
4.0,0.6866197183098591,0.7738095238095238,0.6170886075949367,0.7408695652173913,0.7526501766784452,0.7294520547945206,incel-bert-base-uncased-1000k_english,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
