epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.3165467625899281,0.20907127429805616,0.6514131897711979,0.3154800783801437,0.21027427078798433,0.6313725490196078,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_davidson(3717),test_davidson(3718),8
2.0,0.33771773906861,0.22946859903381642,0.639300134589502,0.33012477718360067,0.2269607843137255,0.6052287581699346,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_davidson(3717),test_davidson(3718),8
3.0,0.3445378151260504,0.23284429720776148,0.6621803499327052,0.341378104232249,0.23304680038204392,0.6379084967320261,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_davidson(3717),test_davidson(3718),8
4.0,0.34411764705882353,0.23672230652503792,0.629878869448183,0.3429416112342941,0.2390520350334879,0.6065359477124183,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_davidson(3717),test_davidson(3718),8
