epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.6119733924611973,0.6448598130841121,0.5822784810126582,0.6351975371985633,0.46929492039423804,0.9825396825396825,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_hateval_2019_english(500),test_hateval_2019_english(1500),6
2.0,0.6194690265486725,0.6511627906976745,0.5907172995780591,0.6580427446569179,0.509581881533101,0.9285714285714286,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_hateval_2019_english(500),test_hateval_2019_english(1500),6
3.0,0.6285714285714286,0.6559633027522935,0.6033755274261603,0.6512904997254256,0.4979009235936188,0.9412698412698413,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_hateval_2019_english(500),test_hateval_2019_english(1500),6
4.0,0.6244541484716157,0.6470588235294118,0.6033755274261603,0.6495352651722254,0.4954128440366973,0.9428571428571428,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_hateval_2019_english(500),test_hateval_2019_english(1500),6
