epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.825242718446602,0.8443708609271523,0.8069620253164557,0.20353982300884957,0.8846153846153846,0.115,incel-bert-base-multilingual-cased-100k_multi,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
2.0,0.8354838709677419,0.8519736842105263,0.819620253164557,0.26556016597510373,0.7804878048780488,0.16,incel-bert-base-multilingual-cased-100k_multi,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
3.0,0.8434108527131783,0.8267477203647416,0.8607594936708861,0.3488372093023256,0.7758620689655172,0.225,incel-bert-base-multilingual-cased-100k_multi,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
4.0,0.8404907975460123,0.8154761904761905,0.8670886075949367,0.4363636363636363,0.8,0.3,incel-bert-base-multilingual-cased-100k_multi,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
