epoch,train_loss,val_loss,val_f1,val_prec,val_rec,test_loss,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.5765336450646844,0.2974254303440756,0.8544600938967135,0.8452012383900929,0.8639240506329114,0.32563408114472214,0.8132231404958679,0.7859424920127795,0.8424657534246576,bert-base-uncased-hatexplain,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
2.0,0.2554997433009639,0.2814600155973921,0.8503937007874016,0.8463949843260188,0.8544303797468354,0.28822190823907756,0.8379310344827587,0.84375,0.8321917808219178,bert-base-uncased-hatexplain,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.18039277800473205,0.3182998536800852,0.8535433070866142,0.8495297805642633,0.8575949367088608,0.3044795084136481,0.8404802744425386,0.8419243986254296,0.839041095890411,bert-base-uncased-hatexplain,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
4.0,0.14021305634901582,0.3424835994611589,0.8557844690966719,0.8571428571428571,0.8544303797468354,0.33582183889740586,0.8497409326424871,0.8571428571428571,0.8424657534246576,bert-base-uncased-hatexplain,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
