epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.8829174664107485,0.8233890214797136,0.9517241379310345,0.5882352941176471,0.4948805460750853,0.725,umberto-commoncrawl-cased-v1,3500,df_ami20_train(3500),df_ami20_dev(1500),test_fdb_500(500),29
2.0,0.9042196918955124,0.87890625,0.9310344827586207,0.44571428571428573,0.52,0.39,umberto-commoncrawl-cased-v1,3500,df_ami20_train(3500),df_ami20_dev(1500),test_fdb_500(500),29
3.0,0.9112903225806451,0.8885976408912188,0.9351724137931035,0.5222222222222221,0.5875,0.47,umberto-commoncrawl-cased-v1,3500,df_ami20_train(3500),df_ami20_dev(1500),test_fdb_500(500),29
4.0,0.9106666666666666,0.8812903225806452,0.9420689655172414,0.6196473551637279,0.6243654822335025,0.615,umberto-commoncrawl-cased-v1,3500,df_ami20_train(3500),df_ami20_dev(1500),test_fdb_500(500),29
5.0,0.9098360655737705,0.9012178619756428,0.9186206896551724,0.5464788732394366,0.6258064516129033,0.485,umberto-commoncrawl-cased-v1,3500,df_ami20_train(3500),df_ami20_dev(1500),test_fdb_500(500),29
