epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.8422818791946308,0.8964285714285715,0.7943037974683544,0.8282097649186257,0.8773946360153256,0.7842465753424658,incel-bert-base-uncased-10k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
2.0,0.8618421052631579,0.8972602739726028,0.8291139240506329,0.8394160583941606,0.8984375,0.7876712328767124,incel-bert-base-uncased-10k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.8614457831325303,0.8218390804597702,0.9050632911392406,0.8576214405360134,0.839344262295082,0.8767123287671232,incel-bert-base-uncased-10k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
4.0,0.8650406504065041,0.8896321070234113,0.8417721518987342,0.8504504504504504,0.8973384030418251,0.8082191780821918,incel-bert-base-uncased-10k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
