gainer,gainer_slope,loser,loser_slope
reietto,-0.142,zerbini,0.104
strafigo,-0.122,normie,0.121
figaccione,-0.122,bv,0.125
attraente,-0.113,chad,0.126
adone,-0.103,subumano,0.158
