,sum_sq,df,F,PR(>F)
group,0.8204545453682416,1.0,4.289320221959384,0.038940288695257154
time,1.6666659945217677,1.0,8.713297030179373,0.0033294811331678127
time:group,49.556062409125495,1.0,259.0781193329119,4.358352015907835e-46
Residual,83.39740641167279,436.0,,
