,sum_sq,df,F,PR(>F)
group,0.43831168897403294,1.0,1.6620601459646978,0.1993099013294373
time,0.4013331029243703,1.0,1.521838847575114,0.21927095091485577
time:group,36.86021583215121,1.0,139.7724433260665,3.3192264982115237e-23
Residual,39.557385155844656,150.0,,
