,time,word,freq,group
183,8,ricecel,1.570907808,gain
184,9,ricecel,0.876905872,gain
185,10,ricecel,1.138272022,gain
186,11,ricecel,1.297825208,gain
187,12,ricecel,1.077256124,gain
188,13,ricecel,1.284763575,gain
189,14,ricecel,1.258229566,gain
190,15,ricecel,1.126401544,gain
191,16,ricecel,1.358522781,gain
192,17,ricecel,1.1802089,gain
193,18,ricecel,1.171788665,gain
194,19,ricecel,1.167527205,gain
195,20,ricecel,1.284167998,gain
196,21,ricecel,1.242898577,gain
197,22,ricecel,1.415780379,gain
198,1,whore,0.599562207,gain
199,2,whore,0.562978665,gain
200,3,whore,0.751661095,gain
201,4,whore,0.742991919,gain
202,5,whore,0.757009086,gain
203,6,whore,0.677161748,gain
204,7,whore,1.071088331,gain
205,8,whore,1.35708273,gain
206,9,whore,0.955351995,gain
207,10,whore,0.984933268,gain
208,11,whore,0.977608982,gain
209,12,whore,1.163873135,gain
210,13,whore,1.085774786,gain
211,14,whore,1.158196814,gain
212,15,whore,1.131879899,gain
213,16,whore,1.238183061,gain
214,17,whore,1.278940183,gain
215,18,whore,1.121947915,gain
216,19,whore,1.232980292,gain
217,20,whore,1.101660908,gain
218,21,whore,1.077920121,gain
219,22,whore,0.971212861,gain
220,1,racepill,0.0,lose
221,2,racepill,0.0,lose
222,3,racepill,1.233925485,lose
223,4,racepill,2.311293836,lose
224,5,racepill,2.01916567,lose
225,6,racepill,1.1076407,lose
226,7,racepill,1.371787398,lose
227,8,racepill,1.454054552,lose
228,9,racepill,1.050736866,lose
229,10,racepill,0.504975506,lose
230,11,racepill,0.616205934,lose
231,12,racepill,0.617883186,lose
232,13,racepill,0.624019472,lose
233,14,racepill,1.186798801,lose
234,15,racepill,0.64079199,lose
235,16,racepill,0.862598308,lose
236,17,racepill,0.745845222,lose
237,18,racepill,0.963233414,lose
238,19,racepill,0.848362123,lose
239,20,racepill,0.612237802,lose
240,21,racepill,0.40781763,lose
241,22,racepill,0.820626106,lose
242,1,stacie,1.494178927,lose
243,2,stacie,1.458640221,lose
244,3,stacie,1.326215049,lose
245,4,stacie,1.177847163,lose
246,5,stacie,1.07307011,lose
247,6,stacie,1.061302574,lose
248,7,stacie,0.969138034,lose
249,8,stacie,0.946137284,lose
250,9,stacie,0.719944602,lose
251,10,stacie,1.017823576,lose
252,11,stacie,1.066745215,lose
253,12,stacie,0.959893,lose
254,13,stacie,0.846579202,lose
255,14,stacie,0.981315633,lose
256,15,stacie,0.723162967,lose
257,16,stacie,0.638652918,lose
258,17,stacie,0.794936243,lose
259,18,stacie,0.933425362,lose
260,19,stacie,0.850605265,lose
261,20,stacie,0.920067282,lose
262,21,stacie,1.194610001,lose
263,22,stacie,0.845709373,lose
264,1,jb,1.273207431,lose
265,2,jb,1.170555016,lose
266,3,jb,1.033773318,lose
267,4,jb,1.323316625,lose
268,5,jb,1.0465255,lose
269,6,jb,1.179973639,lose
270,7,jb,1.377288514,lose
271,8,jb,1.328766728,lose
272,9,jb,1.118435104,lose
273,10,jb,0.965938062,lose
274,11,jb,0.905087404,lose
275,12,jb,0.754865648,lose
276,13,jb,1.132563039,lose
277,14,jb,0.984510741,lose
278,15,jb,0.894663421,lose
279,16,jb,0.582314345,lose
280,17,jb,1.079861078,lose
281,18,jb,0.830955427,lose
282,19,jb,0.935883128,lose
283,20,jb,0.680204535,lose
284,21,jb,0.752114139,lose
285,22,jb,0.649197156,lose
286,1,chadlite,1.197165443,lose
287,2,chadlite,1.319983244,lose
288,3,chadlite,1.186287849,lose
289,4,chadlite,1.045031452,lose
290,5,chadlite,1.238120866,lose
291,6,chadlite,1.045959267,lose
292,7,chadlite,1.041451747,lose
293,8,chadlite,1.241963682,lose
294,9,chadlite,1.086693123,lose
295,10,chadlite,1.157207075,lose
296,11,chadlite,1.236265236,lose
297,12,chadlite,1.190019881,lose
298,13,chadlite,1.078169686,lose
299,14,chadlite,1.084768252,lose
300,15,chadlite,0.771706799,lose
301,16,chadlite,0.719548354,lose
302,17,chadlite,0.649761421,lose
303,18,chadlite,0.749453083,lose
304,19,chadlite,0.843342438,lose
305,20,chadlite,0.756363229,lose
306,21,chadlite,0.705963478,lose
307,22,chadlite,0.654774393,lose
308,1,whitecels,0.0,lose
309,2,whitecels,0.0,lose
