epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,test_incels_f1,test_incels_prec,test_incels_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.8157099697885197,0.7803468208092486,0.8544303797468354,0.32799999999999996,0.82,0.205,0.8070175438596491,0.755223880597015,0.8664383561643836,incel-bert-base-multilingual-cased-100k_italian,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
2.0,0.8411214953271028,0.8282208588957055,0.8544303797468354,0.1842105263157895,0.75,0.105,0.8297520661157025,0.8019169329073482,0.8595890410958904,incel-bert-base-multilingual-cased-100k_italian,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
3.0,0.8348348348348349,0.7942857142857143,0.879746835443038,0.28688524590163933,0.7954545454545454,0.175,0.8298217179902755,0.7876923076923077,0.8767123287671232,incel-bert-base-multilingual-cased-100k_italian,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
4.0,0.8526645768025078,0.84472049689441,0.8607594936708861,0.19469026548672566,0.8461538461538461,0.11,0.8336134453781513,0.8184818481848185,0.8493150684931506,incel-bert-base-multilingual-cased-100k_italian,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
