Layer,F1_Score,Accuracy
1.0,0.2706766917293233,0.8465189873417721
2.0,0.4102564102564103,0.8544303797468354
3.0,0.47852760736196326,0.865506329113924
4.0,0.5841584158415841,0.8670886075949367
5.0,0.5853658536585367,0.865506329113924
6.0,0.5170731707317073,0.8433544303797469
7.0,0.5226130653266331,0.8496835443037974
8.0,0.5743589743589744,0.8686708860759493
9.0,0.5263157894736843,0.8575949367088608
10.0,0.5,0.8322784810126582
11.0,0.47000000000000003,0.8322784810126582
12.0,0.5148514851485148,0.8449367088607594
