epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.8380952380952381,0.8407643312101911,0.8354430379746836,0.8100840336134453,0.7953795379537953,0.8253424657534246,bert-base-uncased,10926,"train_incelsis(3642)
hateval_train(3642)
davidson(3642)",dev_incelsis(780),test_incelsis(781),3
2.0,0.8498402555910544,0.8580645161290322,0.8417721518987342,0.8251273344651953,0.8181818181818182,0.8321917808219178,bert-base-uncased,10926,"train_incelsis(3642)
hateval_train(3642)
davidson(3642)",dev_incelsis(780),test_incelsis(781),3
3.0,0.8619119878603946,0.8279883381924198,0.8987341772151899,0.8239095315024233,0.7798165137614679,0.8732876712328768,bert-base-uncased,10926,"train_incelsis(3642)
hateval_train(3642)
davidson(3642)",dev_incelsis(780),test_incelsis(781),3
4.0,0.8502415458937198,0.8655737704918033,0.8354430379746836,0.8170940170940171,0.8156996587030717,0.8184931506849316,bert-base-uncased,10926,"train_incelsis(3642)
hateval_train(3642)
davidson(3642)",dev_incelsis(780),test_incelsis(781),3
