epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.8273716951788492,0.8134556574923547,0.8417721518987342,0.6358974358974359,0.6262626262626263,0.6458333333333334,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(481),RANLP_review_metrics_no_incel_terms
2.0,0.8519736842105263,0.886986301369863,0.819620253164557,0.64,0.7088607594936709,0.5833333333333334,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(481),RANLP_review_metrics_no_incel_terms
3.0,0.8704000000000001,0.8802588996763754,0.8607594936708861,0.6813186813186812,0.7209302325581395,0.6458333333333334,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(481),RANLP_review_metrics_no_incel_terms
4.0,0.8598726114649682,0.8653846153846154,0.8544303797468354,0.6956521739130435,0.7272727272727273,0.6666666666666666,bert-base-uncased,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(481),RANLP_review_metrics_no_incel_terms
