epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.686084142394822,0.7171853856562923,0.6575682382133995,0.32989690721649484,0.5274725274725275,0.24,bert-base-multilingual-cased,4785,df_evalita20_train(4785),df_evalita20_dev(2052),test_fdb_500(500),28
2.0,0.6938775510204083,0.7139107611548556,0.674937965260546,0.45294117647058824,0.55,0.385,bert-base-multilingual-cased,4785,df_evalita20_train(4785),df_evalita20_dev(2052),test_fdb_500(500),28
3.0,0.6976448122215149,0.7163398692810458,0.6799007444168734,0.4745762711864407,0.5454545454545454,0.42,bert-base-multilingual-cased,4785,df_evalita20_train(4785),df_evalita20_dev(2052),test_fdb_500(500),28
4.0,0.6996336996336996,0.6887019230769231,0.7109181141439206,0.49035812672176304,0.5460122699386503,0.445,bert-base-multilingual-cased,4785,df_evalita20_train(4785),df_evalita20_dev(2052),test_fdb_500(500),28
5.0,0.7144592952612394,0.7,0.7295285359801489,0.46327683615819204,0.5324675324675324,0.41,bert-base-multilingual-cased,4785,df_evalita20_train(4785),df_evalita20_dev(2052),test_fdb_500(500),28
