epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.6618181818181819,0.7777777777777778,0.5759493670886076,0.6940298507462687,0.7622950819672131,0.636986301369863,incel-bert-base-uncased-1000k_english,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
2.0,0.7095709570957096,0.7413793103448276,0.680379746835443,0.7549668874172185,0.7307692307692307,0.7808219178082192,incel-bert-base-uncased-1000k_english,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
3.0,0.692967409948542,0.7565543071161048,0.6392405063291139,0.748735244519393,0.7375415282392026,0.7602739726027398,incel-bert-base-uncased-1000k_english,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
4.0,0.7070376432078559,0.7322033898305085,0.6835443037974683,0.751219512195122,0.7151702786377709,0.791095890410959,incel-bert-base-uncased-1000k_english,21848,"train_davidson(17348)
train_hateval_2019_english(4500)",dev_incelsis(780),test_incelsis(781),5
