epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.8149290561381863,0.7720631209818819,0.8628347485303723,0.6180904522613064,0.6212121212121212,0.615,bert_uncased_L-12_H-768_A-12_italian_alb3rt0,8285,"df_evalita20_train(4785)
df_ami20_train(3500)","df_evalita20_dev(2052)
df_ami20_dev(1500)",test_fdb_500(500),32
2.0,0.8189073050951504,0.7724377533294731,0.8713259307642064,0.5974025974025973,0.6216216216216216,0.575,bert_uncased_L-12_H-768_A-12_italian_alb3rt0,8285,"df_evalita20_train(4785)
df_ami20_train(3500)","df_evalita20_dev(2052)
df_ami20_dev(1500)",test_fdb_500(500),32
3.0,0.8210399032648126,0.7642093415869443,0.8870019595035924,0.6483790523690773,0.6467661691542289,0.65,bert_uncased_L-12_H-768_A-12_italian_alb3rt0,8285,"df_evalita20_train(4785)
df_ami20_train(3500)","df_evalita20_dev(2052)
df_ami20_dev(1500)",test_fdb_500(500),32
4.0,0.8100628930817609,0.7810794420861128,0.8412802090137165,0.6363636363636364,0.6428571428571429,0.63,bert_uncased_L-12_H-768_A-12_italian_alb3rt0,8285,"df_evalita20_train(4785)
df_ami20_train(3500)","df_evalita20_dev(2052)
df_ami20_dev(1500)",test_fdb_500(500),32
5.0,0.8092413362472681,0.7751196172248804,0.8465055519268452,0.6318537859007832,0.6612021857923497,0.605,bert_uncased_L-12_H-768_A-12_italian_alb3rt0,8285,"df_evalita20_train(4785)
df_ami20_train(3500)","df_evalita20_dev(2052)
df_ami20_dev(1500)",test_fdb_500(500),32
