run_id,model,val_f1,val_f1_std,test_f1,test_f1_std
11,BERT base,0.8730326523358333,0.004397601679622301,0.8615323818851994,0.002403227692305892
5,BERT base,0.620772897158133,0.01893773920371097,0.6580532805845032,0.00991920085732396
6,BERT base,0.5939805731032702,0.01942708730443235,0.6503110653352143,0.011802622759491148
7,BERT base,0.5384127947810539,0.02368789827399356,0.6089178916032638,0.018531932534534164
9,BERT base,0.5307955882685592,0.01137852299899663,0.5748061030538021,0.008909044337629117
12,BERT base,0.526553209914549,0.01551056752697174,0.5680224004100514,0.016159373287736912
4,BERT base,0.4309728847770337,0.019348259162978748,0.4438056898107857,0.03409260587393483
8,BERT base,0.3898759390053272,0.008593473985001215,0.3762549524408367,0.00829835600536397
