ID,Epoch,Model,Val F1,Val F1 St.Dev,Val Rec,Val Prec,Test F1,Test F1 St.Dev,Test Rec,Test Prec
0,4,Incel BERT 1M,0.8749405154957509,0.005349933533832765,0.8943037974683545,0.8564596215030447,0.8716513510661004,0.0063541069970191625,0.8828767123287671,0.8608190780504943
11,4,Incel BERT 1M,0.8829321007808734,0.001359285635454344,0.8910913140311804,0.8749559850621639,0.8659620319822411,0.0007568932095787182,0.8776632302405499,0.8546160299500218
15,4,Incel BERT 1M,0.8591367552448148,0.003613203577514056,0.860759493670886,0.8575664310622644,0.8654926145837761,0.003793326951261513,0.8835616438356164,0.8481932910899064
16,3,Incel BERT 1M,0.8594383571716419,0.002233345091981586,0.8822784810126582,0.8377896014666891,0.8591376199667493,0.0017605076604102123,0.8815068493150685,0.8379956051329926
13,1,Incel BERT 1M,0.8578303183738516,0.003378245070631424,0.7886075949367088,0.9403925628560816,0.8572402589400163,0.007708347375497697,0.804109589041096,0.9179260037348274
1,2,Incel BERT 1M,0.8635461808357938,0.0046856927519200245,0.8772151898734177,0.8504038116544368,0.85691720932804,0.004564771789275515,0.8794520547945206,0.8359008125314809
14,3,Incel BERT 1M,0.8753485133947958,0.006066585595909209,0.8911392405063291,0.8602501165915835,0.8560697928159389,0.008196835844776682,0.8753424657534247,0.8378796216423027
10,1,Incel BERT 1M,0.8661309807348154,0.0029442606313214263,0.8784810126582279,0.8543413915212023,0.8545643483768988,0.0028868342549445065,0.8773972602739726,0.8331133639783177
2,4,Incel BERT 1M,0.8862910967482989,0.004242885474498294,0.9075949367088608,0.8660430819136439,0.8517979959749093,0.0031227797533331545,0.8602739726027397,0.8435676004838392
3,2,Incel BERT 1M,0.8686769360408331,0.006624047370379938,0.8873417721518987,0.850861745354748,0.8452922587633308,0.005087143624250978,0.8739726027397261,0.8184775545514764
5,2,Incel BERT 1M,0.6987077824822938,0.017389467522446272,0.6411392405063291,0.7699525840398052,0.753444754924964,0.011533115055341306,0.7575342465753424,0.7503536459558502
6,4,Incel BERT 1M,0.6267054612076635,0.008502523401122593,0.60084388185654,0.6552710828797663,0.6522982419250456,0.004905203035647605,0.9438095238095239,0.4984493867606049
7,3,Incel BERT 1M,0.5662095005244654,0.010703756087509977,0.49367088607594933,0.6643679380757983,0.6467222595390554,0.013831196615045059,0.6123287671232877,0.6858040030622795
12,4,Incel BERT 1M,0.49038739689483013,0.01219593192336816,0.35063291139240504,0.8158675765864679,0.5821160890011929,0.016767068555761853,0.4383561643835616,0.8675930443680013
4,4,Incel BERT 1M,0.5586452139676431,0.004273668535047989,0.4430379746835443,0.7561132727285014,0.5421820066276289,0.009312012939533503,0.4417808219178082,0.7019035236682296
9,3,Incel BERT 1M,0.5159574336991098,0.005649059835640322,0.5580080753701211,0.4801032640894206,0.5192853142107944,0.005326973081986616,0.5383006535947712,0.5018369393270874
8,4,Incel BERT 1M,0.3458994321838613,0.00448121260804921,0.62907133243607,0.23855186762923516,0.3436744409545091,0.0015780585658989605,0.6007843137254902,0.2407149001575235
