run_id,model,val_f1,val_f1_std,test_f1,test_f1_std
0,incel-bert-base-uncased-1000k_english,0.8749405154957509,0.005349933533832765,0.8716513510661004,0.0063541069970191625
11,incel-bert-base-uncased-1000k_english,0.8829321007808734,0.001359285635454344,0.8659620319822411,0.0007568932095787182
15,incel-bert-base-uncased-1000k_english,0.8591367552448148,0.003613203577514056,0.8654926145837761,0.003793326951261513
16,incel-bert-base-uncased-1000k_english,0.8594383571716419,0.002233345091981586,0.8591376199667493,0.0017605076604102123
13,incel-bert-base-uncased-1000k_english,0.8578303183738516,0.003378245070631424,0.8572402589400163,0.007708347375497697
1,incel-bert-base-uncased-1000k_english,0.8635461808357938,0.0046856927519200245,0.85691720932804,0.004564771789275515
14,incel-bert-base-uncased-1000k_english,0.8753485133947958,0.006066585595909209,0.8560697928159389,0.008196835844776682
10,incel-bert-base-uncased-1000k_english,0.8661309807348154,0.0029442606313214263,0.8545643483768988,0.0028868342549445065
2,incel-bert-base-uncased-1000k_english,0.8862910967482989,0.004242885474498294,0.8517979959749093,0.0031227797533331545
3,incel-bert-base-uncased-1000k_english,0.8686769360408331,0.006624047370379938,0.8452922587633308,0.005087143624250978
5,incel-bert-base-uncased-1000k_english,0.6987077824822938,0.017389467522446272,0.753444754924964,0.011533115055341306
6,incel-bert-base-uncased-1000k_english,0.6145526183619464,0.013905814293623633,0.6528925992602609,0.022027282060543146
7,incel-bert-base-uncased-1000k_english,0.5662095005244654,0.010703756087509977,0.6467222595390554,0.013831196615045059
12,incel-bert-base-uncased-1000k_english,0.49038739689483013,0.01219593192336816,0.5821160890011929,0.016767068555761853
4,incel-bert-base-uncased-1000k_english,0.5586452139676431,0.004273668535047989,0.5421820066276289,0.009312012939533503
9,incel-bert-base-uncased-1000k_english,0.5159574336991098,0.005649059835640322,0.5192853142107944,0.005326973081986616
8,incel-bert-base-uncased-1000k_english,0.3458994321838613,0.00448121260804921,0.3436744409545091,0.0015780585658989605
