run_id,epoch,model,val_f1,val_f1_std,val_rec,val_prec,test_f1,test_f1_std,test_rec,test_prec
11,2,BERT base,0.8730326523358333,0.004397601679622301,0.897216035634744,0.8502801231607714,0.8615323818851994,0.002403227692305892,0.8854524627720505,0.8390064562719314
1,2,BERT base,0.8238818607949622,0.012433178369258958,0.7908227848101266,0.8606797008888085,0.8474031430918272,0.00735781282833438,0.8232876712328767,0.8735414169671956
16,2,BERT base,0.8505193855943322,0.006070583990806399,0.8075949367088608,0.8984352003803986,0.843775332606756,0.006099974892206957,0.8126712328767123,0.8776466279571519
2,2,BERT base,0.8564736378789315,0.007731790451910846,0.8588607594936709,0.8545541596511612,0.8401838328825371,0.010751275657444288,0.8417808219178082,0.8391991869382522
15,2,BERT base,0.8471706826279565,0.004339267374988824,0.889240506329114,0.8090225648431139,0.8388489960303683,0.009608175327933956,0.8856164383561644,0.7969439184381104
0,2,BERT base,0.851214706188631,0.009259088632281781,0.870253164556962,0.8333672880492882,0.8383248663666153,0.007965701538872827,0.8537671232876713,0.8238848361277629
13,2,BERT base,0.8430019272616175,0.00806285699102787,0.8613924050632912,0.8257858304445866,0.8371774818871367,0.007554597590372211,0.8544520547945206,0.8210108933988508
10,2,BERT base,0.8568851448809287,0.0073444464877252215,0.8743670886075948,0.8404509642909506,0.8365740512586106,0.007328737494855596,0.8537671232876713,0.8204757164458755
14,2,BERT base,0.8617000252868625,0.008509564508530054,0.8876582278481013,0.8380055460583279,0.833982754492489,0.007108832900487445,0.863013698630137,0.8076891284543265
3,2,BERT base,0.8484108587156882,0.006673300813339021,0.8465189873417721,0.8504790090021682,0.8285074427403476,0.005759282947211373,0.8428082191780822,0.8148758109585797
6,2,BERT base,0.5685815304445485,0.016933226775627037,0.5075949367088607,0.6476677118236591,0.6475830245452994,0.01593565485601888,0.8839682539682541,0.5114484816615672
5,2,BERT base,0.5272945041882717,0.026405647567359095,0.40126582278481004,0.7718828356700429,0.6031426723088409,0.022250780588373088,0.5085616438356164,0.7428072252217662
9,2,BERT base,0.5307955882685592,0.01137852299899663,0.5554973821989528,0.5095399409487789,0.5748061030538021,0.008909044337629117,0.6206391478029294,0.5364622740760663
12,2,BERT base,0.5103129305064363,0.014379613318015837,0.38702531645569616,0.7507153238986661,0.5476308452782227,0.01459232774783066,0.4273972602739726,0.7636610462383188
7,2,BERT base,0.4313655525341137,0.03425608166023959,0.3142405063291139,0.6955019694327959,0.5415630988189134,0.03677910077200061,0.4280821917808219,0.7453554814224802
4,2,BERT base,0.4029943700206024,0.03497546154875484,0.28164556962025317,0.7210655498284116,0.40457263371742797,0.04671625653602204,0.288013698630137,0.6953905221179284
8,2,BERT base,0.3578981126813561,0.007623940583135883,0.5619170984455959,0.2637426189164933,0.3403643468193374,0.005611475913124922,0.5565040650406503,0.2460915773887593
