run_id,epoch,model,val_f1,val_f1_std,val_rec,val_prec,test_f1,test_f1_std,test_rec,test_prec
11,2,BERT base,0.8730326523358333,0.004397601679622301,0.897216035634744,0.8502801231607714,0.8615323818851994,0.002403227692305892,0.8854524627720505,0.8390064562719314
15,4,BERT base,0.8527407954397347,0.007606936460750558,0.8537974683544304,0.851793417698379,0.855386527852076,0.005299109913106766,0.863013698630137,0.848007147092669
1,4,BERT base,0.8382917453054951,0.010065536068783347,0.8341772151898734,0.842684806142022,0.8506330806309599,0.005637218640148241,0.8520547945205479,0.849428657045198
16,3,BERT base,0.8474502652275401,0.0024060054455715494,0.8525316455696202,0.8427894731424559,0.8489230215290633,0.008707810498199797,0.861986301369863,0.836754997157707
0,3,BERT base,0.8461721523195962,0.009995247692897643,0.8512658227848101,0.8445306614511475,0.8446455729971468,0.00767484963995753,0.8431506849315069,0.8494824712378433
14,4,BERT base,0.8576303842877369,0.005127879258477258,0.8579113924050633,0.8574544945595741,0.844631101340168,0.007018920231773103,0.8414383561643837,0.8479113562925866
2,3,BERT base,0.857996608334094,0.007414521265827328,0.8575949367088608,0.8587546403933303,0.8436423397834242,0.007940675355145903,0.8349315068493152,0.8529646320763945
13,4,BERT base,0.8537037427624853,0.006814866491151317,0.8569620253164556,0.8508598192068186,0.8420609031497058,0.00732487770401898,0.8421232876712329,0.8423737254442305
3,4,BERT base,0.8483581117033487,0.006815695060457303,0.8458860759493672,0.8511198762816707,0.8398907486016315,0.010719722778011627,0.8397260273972602,0.8401598289754144
10,2,BERT base,0.8568851448809287,0.0073444464877252215,0.8743670886075948,0.8404509642909506,0.8365740512586106,0.007328737494855596,0.8537671232876713,0.8204757164458755
5,3,BERT base,0.620772897158133,0.01893773920371097,0.5481012658227848,0.7176709905115961,0.6580532805845032,0.00991920085732396,0.6215753424657534,0.6998518967689752
6,3,BERT base,0.5569689003503425,0.05181340780047029,0.4852320675105485,0.6639677610375105,0.6487026256604068,0.021277143557601897,0.8503174603174604,0.5268794226883379
7,3,BERT base,0.5384127947810539,0.02368789827399356,0.45886075949367083,0.6530137525600728,0.6089178916032638,0.018531932534534164,0.561986301369863,0.6660951698017986
9,2,BERT base,0.5307955882685592,0.01137852299899663,0.5554973821989528,0.5095399409487789,0.5748061030538021,0.008909044337629117,0.6206391478029294,0.5364622740760663
12,2,BERT base,0.5103129305064363,0.014379613318015837,0.38702531645569616,0.7507153238986661,0.5476308452782227,0.01459232774783066,0.4273972602739726,0.7636610462383188
4,3,BERT base,0.4309728847770337,0.019348259162978748,0.31044303797468353,0.7096502466191936,0.4438056898107857,0.03409260587393483,0.33013698630136984,0.6817397128682541
8,3,BERT base,0.3528204937627591,0.013557279284095806,0.528238341968912,0.27007684196534826,0.33934086854507095,0.011842296562797401,0.5307588075880758,0.25349406876213604
