epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,test_incels_f1,test_incels_prec,test_incels_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
1.0,0.8023598820058997,0.7513812154696132,0.8607594936708861,0.31746031746031744,0.7692307692307693,0.2,0.8093023255813954,0.7393767705382436,0.8938356164383562,incel-bert-base-multilingual-cased-100k_multi,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
2.0,0.8445839874411303,0.838006230529595,0.8512658227848101,0.22413793103448276,0.8125,0.13,0.8355704697986577,0.819078947368421,0.8527397260273972,incel-bert-base-multilingual-cased-100k_multi,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
3.0,0.8506787330316743,0.8126801152737753,0.8924050632911392,0.35877862595419846,0.7580645161290323,0.235,0.818035426731079,0.7720364741641338,0.8698630136986302,incel-bert-base-multilingual-cased-100k_multi,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
4.0,0.8545176110260337,0.827893175074184,0.8829113924050633,0.3095238095238095,0.75,0.195,0.8137254901960784,0.778125,0.8527397260273972,incel-bert-base-multilingual-cased-100k_multi,3642,train_incelsis(3642),dev_incelsis(780),test_fdb_500(500),17
