epoch,train_loss,val_loss,val_f1,val_prec,val_rec,test_loss,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
3.0,0.2664417326450348,0.205877885222435,0.7912087912087913,0.8307692307692308,0.7552447552447552,0.21857748925685883,0.7209302325581395,0.7380952380952381,0.7045454545454546,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.20705364644527435,0.1977604329586029,0.8215488215488216,0.7922077922077922,0.8531468531468531,0.22460292279720306,0.7766323024054983,0.710691823899371,0.8560606060606061,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.2199651151895523,0.19378431141376495,0.8169014084507041,0.8226950354609929,0.8111888111888111,0.20918218791484833,0.7220216606498194,0.6896551724137931,0.7575757575757576,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.21154089272022247,0.1910242885351181,0.8243243243243243,0.7973856209150327,0.8531468531468531,0.22134177386760712,0.7407407407407408,0.6666666666666666,0.8333333333333334,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.22963544726371765,0.20072580873966217,0.7972027972027973,0.7972027972027972,0.7972027972027972,0.2166294902563095,0.7220216606498194,0.6896551724137931,0.7575757575757576,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
