,f1_score_pos_val,acc_val,prec_val,recall_val,f1_score_pos_test,acc_test,prec_test,recall_test
0,0.21,0.7,0.22,0.19,0.22,0.69,0.24,0.21
Average,0.21,0.7,0.22,0.19,0.22,0.69,0.24,0.21
