,f1_score_pos_val,acc_val,prec_val,recall_val,f1_score_pos_test,acc_test,prec_test,recall_test
0,0.33,0.65,0.73,0.22,0.31,0.66,0.67,0.21
Average,0.33,0.65,0.73,0.22,0.31,0.66,0.67,0.21
