,f1_score_pos_val,acc_val,prec_val,recall_val,f1_score_pos_test,acc_test,prec_test,recall_test
0,0.79,0.85,0.88,0.72,0.76,0.84,0.85,0.68
1,0.82,0.85,0.81,0.82,0.8,0.85,0.77,0.83
2,0.82,0.87,0.88,0.77,0.78,0.85,0.85,0.72
3,0.8,0.83,0.77,0.83,0.8,0.84,0.76,0.84
4,0.79,0.84,0.83,0.76,0.8,0.85,0.82,0.78
Average,0.8,0.85,0.83,0.78,0.79,0.85,0.81,0.77
