,f1_score_pos_val,acc_val,prec_val,recall_val,f1_score_pos_test,acc_test,prec_test,recall_test,model,train_len,train_set,evaluation_set
0,0.5130260521042084,0.6884615384615385,0.6994535519125683,0.4050632911392405,0.5336134453781514,0.7157490396927016,0.6902173913043478,0.4349315068493151,CNN,10999,hatexplain_binary_train,incelsis
1,0.6089644513137558,0.6756410256410257,0.595166163141994,0.6234177215189873,0.6053511705685619,0.6978233034571063,0.5915032679738562,0.6198630136986302,CNN,10999,hatexplain_binary_train,incelsis
2,0.484725050916497,0.6756410256410257,0.68,0.37658227848101267,0.5407725321888411,0.7259923175416133,0.7241379310344828,0.4315068493150685,CNN,10999,hatexplain_binary_train,incelsis
3,0.5343811394891945,0.6961538461538461,0.7046632124352331,0.43037974683544306,0.511727078891258,0.706786171574904,0.6779661016949152,0.410958904109589,CNN,10999,hatexplain_binary_train,incelsis
4,0.582010582010582,0.6961538461538461,0.6573705179282868,0.5221518987341772,0.5666666666666667,0.7003841229193342,0.6169354838709677,0.523972602739726,CNN,10999,hatexplain_binary_train,incelsis
Average,0.5446214551668475,0.6864102564102564,0.6673306890836164,0.47151898734177217,0.5516261787386958,0.7093469910371318,0.660152035175714,0.4842465753424657,CNN,10999,hatexplain_binary_train,incelsis
