,f1_score_pos_val,acc_val,prec_val,recall_val,f1_score_pos_test,acc_test,prec_test,recall_test,model,train_len,train_set,evaluation_set
0,0.8,0.84,0.79,0.82,0.78,0.83,0.75,0.82,CNN,29990,incelsis+davidson_train+hateval_train,incelsis
1,0.77,0.81,0.76,0.77,0.79,0.85,0.79,0.79,CNN,29990,incelsis+davidson_train+hateval_train,incelsis
2,0.78,0.81,0.75,0.82,0.77,0.83,0.75,0.8,CNN,29990,incelsis+davidson_train+hateval_train,incelsis
3,0.79,0.84,0.85,0.73,0.77,0.84,0.84,0.72,CNN,29990,incelsis+davidson_train+hateval_train,incelsis
4,0.78,0.83,0.83,0.74,0.78,0.84,0.83,0.73,CNN,29990,incelsis+davidson_train+hateval_train,incelsis
Average,0.78,0.83,0.8,0.78,0.78,0.84,0.79,0.77,CNN,29990,incelsis+davidson_train+hateval_train,incelsis
