epoch,train_loss,dev_loss,dev_f1,dev_precision,dev_recall,test_loss,test_f1,test_precision,test_recall,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
3.0,0.37057289481163025,0.7242733836174011,0.3703703703703703,0.8426966292134831,0.23734177215189872,0.6631925106048584,0.35384615384615387,0.7040816326530612,0.2363013698630137,CNN,17348,train_davidson(17348),dev_incelsis(780),test_incelsis(781),7
3.0,0.3730817139148712,0.6144362688064575,0.5447619047619048,0.6842105263157895,0.4525316455696203,0.6033405065536499,0.558766859344894,0.6387665198237885,0.4965753424657534,CNN,17348,train_davidson(17348),dev_incelsis(780),test_incelsis(781),7
3.0,0.38317808508872986,0.8148328065872192,0.3407407407407408,0.7752808988764045,0.21835443037974683,0.738484263420105,0.32898172323759794,0.6923076923076923,0.21575342465753425,CNN,17348,train_davidson(17348),dev_incelsis(780),test_incelsis(781),7
3.0,0.3794935941696167,0.6971065998077393,0.4698544698544699,0.6848484848484848,0.3575949367088608,0.644683301448822,0.45689655172413796,0.6162790697674418,0.363013698630137,CNN,17348,train_davidson(17348),dev_incelsis(780),test_incelsis(781),7
3.0,0.3733651041984558,0.6834729313850403,0.43724696356275305,0.6067415730337079,0.34177215189873417,0.6392505168914795,0.47950819672131145,0.5969387755102041,0.4006849315068493,CNN,17348,train_davidson(17348),dev_incelsis(780),test_incelsis(781),7
