epoch,train_loss,val_loss,val_f1,val_precision,val_recall,test_loss,test_f1,test_precision,test_recall,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
3.0,0.20417985320091248,0.35639575123786926,0.8223495702005731,0.7513089005235603,0.9082278481012658,0.38966724276542664,0.8170731707317073,0.7362637362637363,0.9178082191780822,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.22241143882274628,0.29921260476112366,0.835820895522388,0.8780487804878049,0.7974683544303798,0.31237009167671204,0.8154657293497364,0.8375451263537906,0.7945205479452054,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.20450527966022491,0.3578319847583771,0.8338192419825073,0.772972972972973,0.9050632911392406,0.36999601125717163,0.8173374613003097,0.7457627118644068,0.9041095890410958,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.20950624346733093,0.35200753808021545,0.7986348122866894,0.8666666666666667,0.740506329113924,0.35904034972190857,0.8065693430656934,0.86328125,0.7568493150684932,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.23308420181274414,0.3081892728805542,0.8382126348228044,0.8168168168168168,0.8607594936708861,0.3331027925014496,0.8316831683168318,0.802547770700637,0.863013698630137,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.21950273215770721,0.31274476647377014,0.8122866894197952,0.8814814814814815,0.7531645569620253,0.3144846260547638,0.7992700729927007,0.85546875,0.75,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.20896296203136444,0.41478174924850464,0.8067226890756303,0.7236180904522613,0.9113924050632911,0.4288214147090912,0.7824817518248175,0.6819338422391857,0.9178082191780822,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.2347402572631836,0.309805303812027,0.8195718654434251,0.7928994082840237,0.8481012658227848,0.3295115828514099,0.8103727714748785,0.7692307692307693,0.8561643835616438,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.21327242255210876,0.3157716393470764,0.8311688311688312,0.8533333333333334,0.810126582278481,0.328718364238739,0.8224956063268893,0.8447653429602888,0.8013698630136986,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
3.0,0.23085074126720428,0.33799684047698975,0.8303030303030303,0.7965116279069767,0.8670886075949367,0.3390922546386719,0.8192,0.7687687687687688,0.8767123287671232,CNN,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),0
