,f1_score_pos_val,acc_val,prec_val,recall_val,f1_score_pos_test,acc_test,prec_test,recall_test
0,0.5,0.64,0.58,0.45,0.56,0.71,0.64,0.5
1,0.6,0.6,0.51,0.75,0.61,0.61,0.49,0.79
2,0.63,0.71,0.65,0.61,0.58,0.68,0.58,0.58
3,0.58,0.67,0.6,0.56,0.58,0.69,0.59,0.57
4,0.41,0.65,0.65,0.29,0.43,0.69,0.68,0.32
Average,0.54,0.65,0.6,0.53,0.55,0.68,0.6,0.55
