,f1_score_pos_val,acc_val,prec_val,recall_val,f1_score_pos_test,acc_test,prec_test,recall_test
0,0.81,0.86,0.86,0.77,0.78,0.85,0.84,0.73
1,0.8,0.85,0.84,0.78,0.75,0.82,0.77,0.73
2,0.78,0.84,0.87,0.71,0.76,0.84,0.86,0.68
3,0.79,0.83,0.8,0.78,0.77,0.83,0.79,0.75
4,0.8,0.85,0.88,0.74,0.77,0.84,0.83,0.72
Average,0.8,0.85,0.85,0.76,0.77,0.84,0.82,0.72
