,f1_score_pos_val,acc_val,prec_val,recall_val,f1_score_pos_test,acc_test,prec_test,recall_test,model,train_len,train_set,evaluation_set
0,0.7940403155127082,0.8290909090909091,0.814748201438849,0.7743589743589744,0.7531083481349912,0.7978181818181819,0.7895716945996276,0.7198641765704584,CNN,10999,hatexplain_binary_train,hatexplain_binary
1,0.7920962199312714,0.824,0.7962003454231433,0.788034188034188,0.7781569965870306,0.8109090909090909,0.7821612349914236,0.7741935483870968,CNN,10999,hatexplain_binary_train,hatexplain_binary
2,0.739593417231365,0.8043636363636364,0.8526785714285714,0.652991452991453,0.7327502429543247,0.8,0.8568181818181818,0.6400679117147708,CNN,10999,hatexplain_binary_train,hatexplain_binary
3,0.8003427592116538,0.8305454545454546,0.802405498281787,0.7982905982905983,0.7616580310880828,0.7992727272727272,0.7750439367311072,0.7487266553480475,CNN,10999,hatexplain_binary_train,hatexplain_binary
4,0.7686424474187381,0.824,0.8720173535791758,0.6871794871794872,0.723444976076555,0.7898181818181819,0.8289473684210527,0.6417657045840407,CNN,10999,hatexplain_binary_train,hatexplain_binary
Average,0.7789430318611472,0.8224,0.8276099940303052,0.7401709401709402,0.7498237189681969,0.7995636363636363,0.8065084833122785,0.7049235993208829,CNN,10999,hatexplain_binary_train,hatexplain_binary
